Store,Theme,final_theme_score
공릉역,가성비,4.36
은행사거리,분위기,3.08
은행사거리,공간,7.76
은행사거리,프라이버시,3.21
은행사거리,서비스,4.1
은행사거리,단체모임,4.75
은행사거리,가성비,6.03
노원KT,분위기,2.5
노원KT,공간,5.71
노원KT,프라이버시,2.78
노원KT,서비스,4.14
노원KT,단체모임,3.75
노원KT,가성비,5.22
광운대,분위기,2.7
광운대,공간,7.58
광운대,프라이버시,8.0
광운대,서비스,5.48
광운대,단체모임,6.54
광운대,가성비,8.81
태릉입구역DT,분위기,2.06
태릉입구역DT,공간,5.22
태릉입구역DT,프라이버시,2.87
태릉입구역DT,서비스,4.74
태릉입구역DT,단체모임,4.26
태릉입구역DT,가성비,5.21
노원상계,분위기,3.07
노원상계,공간,5.32
노원상계,프라이버시,4.28
노원상계,서비스,5.11
노원상계,단체모임,4.16
노원상계,가성비,7.1
방학역,분위기,2.74
방학역,공간,4.67
방학역,프라이버시,2.41
방학역,서비스,3.81
방학역,단체모임,3.42
방학역,가성비,2.45
창동역,분위기,7.28
창동역,공간,18.6
창동역,프라이버시,6.08
창동역,서비스,8.45
창동역,단체모임,8.56
창동역,가성비,9.6
노량진동,분위기,1.84
노량진동,공간,6.14
노량진동,프라이버시,2.99
노량진동,서비스,5.12
노량진동,단체모임,5.17
노량진동,가성비,7.71
남성역,분위기,2.36
남성역,공간,5.32
남성역,프라이버시,2.05
남성역,서비스,4.56
남성역,단체모임,4.06
남성역,가성비,7.35
상도역,분위기,1.74
상도역,공간,6.0
상도역,프라이버시,4.11
상도역,서비스,4.4
상도역,단체모임,4.82
상도역,가성비,6.73
보라매공원R,분위기,2.52
보라매공원R,공간,4.43
보라매공원R,프라이버시,1.62
보라매공원R,서비스,3.98
보라매공원R,단체모임,3.35
보라매공원R,가성비,5.07
이수자이,분위기,3.29
이수자이,공간,5.57
이수자이,프라이버시,3.69
이수자이,서비스,4.56
이수자이,단체모임,3.97
이수자이,가성비,4.55
노량진역,분위기,2.22
노량진역,공간,4.78
노량진역,프라이버시,2.22
노량진역,서비스,4.22
노량진역,단체모임,3.73
노량진역,가성비,6.26
신대방삼거리역,분위기,2.12
신대방삼거리역,공간,4.78
신대방삼거리역,프라이버시,2.28
